,Company,Title,Location,Address,Industry,JD,Job Level,Base Title,Min Years Exp,Mean Sal,Log Mean Sal
0,Career Edge Asia Pte Ltd,Senior Data Analyst ($7K - $8K / CBD/ MNC ) ref: JT,Singapore - Across Singapore,,Human Resources Management/Consulting," CAREER EDGE ASIA PTE LTD   EA Licence Number  13C6678 To find out more job opportunities, visit Career Edge Asia at www caed com sg for all job listings    Email  recruit caed com sg Requirements Location  CBD   5 working days, Mon – Fri   Salary range  $7K MNC Responsibilities Competitive remuneration package will be offered to the shortlisted candidate Responsibilities    Responsible for dashboards and reports on campaigns ROI analysis     Manage data analytics requests from regional team   Responsible for weekly run rate analysis, insights and trends on lead, opportunity and pipeline creation     Analyse customer behaviour on optimizing programs for meeting ROI     Requirements    Degree in IT/ System engineering / Business / Marketing related     3 yeears experience into data analysis     Experience in database  SQL, Schema design    Advanced spreadsheet and process documentation skills   Experience with structured and unstructred data analysis    Location  CBD   5 working days, Mon – Fri   Salary range  $7K MNC   Competitive remuneration package will be offered to the shortlisted candidate   Interested candidates, please send your updated CV in MS Words format stating your last drawn salary, expected salary, notice period and reason for leaving last / past employment s  and email to  recruit21 caed com sg  for priority processing   Attn  Jace Tay  Registration No   R1331152 CAREER EDGE ASIA PTE LTD   EA Licence Number  13C6678 To find out more job opportunities, visit Career Edge Asia at www caed com sg for all job listings    Email  recruit caed com sg Interested candidates, please send your updated CV in MS Words format stating your last drawn salary, expected salary, notice period and reason for leaving last / past employment s  and email to  recruit21 caed com sg  for priority processing",4,DA,3.0,7000.0,8.85366542803745
1,YGP Pte Ltd,Data Analyst,Singapore - Central - Downtown Core - Tanjong Pagar,79 Anson Road Singapore,Automobile/Automotive Ancillary/Vehicle," Application Management      Register & gather new/enhance application requirements   Coordinate with developer on business needs   Implement and test changes in Global Purchasing Database and other Data Management applications      Data Management      Assisting in performing data/statistical analysis to facilitate decision making process   Support systems and processes to manage the aggregation of data and to improve the integration of data   Ensure compliance with Global Data Management Guidelines and Practice   Identify Opportunities that can improve efficiency of business processes through automation   Coordinate requirements between developers and internal business with translation of business requirements in technical specifications      Reporting and Documentation      Support Regional and Global Documentation governance   Support KPIs/Error logs and initiate data enrichment activities      Requirements       Minimum 2 years of relevant experiences in Business Analytics / Data Management   Bachelor’s Degree in Business Analytics / Mathematics / Information Management   Proficient in MS Excel, Access, SQL Requirements Reporting and Documentation Application Management Data Management",2,DA,2.0,3500.0,8.160518247477505
2,None,Data Analyst,Singapore - Central,2 Bukit Merah Central Podium #04-00,Wood/Fibre/Paper,"Key Responsibilities  • Report to   the Market Analyst Manager for all of its work and long term projects • Focus on procurement analytics including cost and spend analysis, market research and category risk • Interpret large amounts of procurement data from a diverse range of sources and be able to identify trends and patterns as well as make sound assumptions based on the analysis • Use the database tools  e g  SQL  to organize data in database format • Use modelling tools  e g  SAS, Rapid Miner, Python  to analyse data and make prediction  • Use visualization tools  e g  tableau  to analyse and visualize data and pattern • Work with Strategic Procurement team to develop cost model  Requirements   • Degree in Data Analytics/IT/Finance/Business Administration/Data analytics and have 1 to 2 years working experience  Entry Level candidate is welcome to apply  • Professional and mature disposition, independent and able to multitask • Strong communication, coordination & interpersonal skills • Confident, meticulous, and ability to work in a fast paced environment • Ability to work under pressure • Proficient in Microsoft Office Applications – Excel, PowerPoint and Access • Proficient in data analytics and data programming software is a must  Requirements",1,DA,1.0,4200.0,8.34283980427146
3,nSearch Global Pte Ltd,Senior Business Analyst - Data Analytics / Project Management,Singapore - Central,,Human Resources Management/Consulting," Senior / Business Analyst Interested applicants can also email CV at harry nsearchglobal com  for faster processing, please state the exact job / position title applied “Business Analyst”    Only shortlisted candidates will be notified Only shortlisted candidates will be notified One of Asia Pacific’s leading organizations is looking for     Senior / Business Analyst    Responsibilities   Able to apply understanding of Business Analytics concepts, techniques and/or tools to advise on the appropriate use of technology to mine data to transform and enhance the effectiveness of organisation governance and policy making, improve operations and services delivery   Experience in writing use cases, documenting business / functional requirements/ narratives and defining requirements traceability  Review test scenarios/ test cases, support SIT and UAT  Knowledge transfer to Development, Testing and Application Support teams   Requirements   Degree in Computer/Computer Science, Electronics Engineering, Information Technology or equivalent  Minimum 5 years relevant working experience as a Business Analyst  Hands on experience in at least 2 full SDLC / project development life cycles                                                                                                                  Interested applicants can also email CV at harry nsearchglobal com  for faster processing, please state the exact job / position title applied “Business Analyst”    Only shortlisted candidates will be notified                                                                                                                    EA License Number  10C3636 EA Personnel Name  Arora, Hardeep EA Personnel Registration Number  R1111454 One of Asia Pacific’s leading organizations is looking for Interested applicants can also email CV at harry nsearchglobal com  for faster processing, please state the exact job / position title applied “Business Analyst” Responsibilities EA License Number  10C3636 EA Personnel Name  Arora, Hardeep EA Personnel Registration Number  R1111454 Requirements",4,DA,5.0,5000.0,8.517193191416238
4,Adecco Personnel Pte Ltd.,Data Analyst- Pivot Table/ V-Look-up,Singapore - Across Singapore - Singapore,,Education," The Opportunity    Adecco is partnering with a renowned MNC in the Education industry   Looking for Data Analyst in the sales team is focus on partnering with various business unit to deliver accurate tracking for discount spend and provide dedicated system administration and end user support to the respective sales directors and admission team   The company is located in Raffles Place    Immediate Vacancy    6 month contract role with the opportunity to convert to permanent or contract extension    The Talent    Minimum qualification  Degree in Business, Finance or Data Analytics   Good interpersonal and excellent communication skills   1 to 2 years of finance or data analytics experience   Able to start immediately or within short notice    The Job    Liaise with Sales / admissions teams and update discount tracker accurately   Publish discount spend report weekly   Review with sales directors on plan discount  on application & manual , quota on quarterly and yearly basis   Create the plan discount as discussed with the respective sales directors in the required format in excel and load the template in   Load on application discount changes requested from the respective sales directors on a day to day basis and MS Access   Maintain manual promotion discounts in on a day to day basis   Key point of contact when admission team has issues with the interface  non technical/IT issues  e g  discount not appearing    Highlight potential areas of improvement in the system to IT team and project manager on an ongoing basis   Perform UAT during system enhancements   Working closely with IT team during system enhancements and highlight issues when required   Check accuracy of discount reports after enhancements requested by end user   Other ad hoc tasks that may arise    Next Step    Prepare your updated resume  please include your current salary package with full breakdown such as base, incentives, annual wage supplement, etc   and expected package    You may send your resume in  MS Word Document  to  pierre lim adecco com     or apply through this advertisement   All shortlisted candidates will be contacted   Pierre Lim Wen Xi Direct Line  6697 7798 EA License No  91C2918 Personnel Registration Number  R1548471",1,DA,1.0,4000.0,8.294049640102028
5,(Recruitment Firm),Data Analysts- Up to $3500 @Clementi (3 months extendable contract),Singapore - Central,8 Marina View #11-01 Asia Square Tower 1 Singapore 018960,Human Resources Management/Consulting," EA License No   08C2893 EA Reg  ID  R1769977 Lerh Chun Yong David Lu Jun Yong David  If opportunity doesn't knock, build a door  —Milton Berle Requirements  • Proficient with Excel / Access Database – including use of complex formulas and macros As this position is urgent, kindly email detailed CV or contact us   6709 3453 and attention to DLL with current and expected salary, notice period and reason for leaving each job  We regret to inform that only shortlisted candidates will be notified • Set up efficient process to compare of large chunks of data • Ability to represent data in multiple formats • Deep dive into issues of mismatch and to confirm with Proprietary Order Management System, ensuring that data retrieved can able sync • Ad hoc transportation/operations projects support   Requirements  • Proficient with Excel / Access Database – including use of complex formulas and macros   Location/Salary •Panda Avenue • Up to $3500   Consultant Code  DLL Quote the Job title when sending in your application   Email Address  os3 capitagrp com and attention to David Lerh  As this position is urgent, kindly email detailed CV or contact us   6709 3453 and attention to DLL with current and expected salary, notice period and reason for leaving each job  We regret to inform that only shortlisted candidates will be notified    EA License No   08C2893 EA Reg  ID  R1769977 Lerh Chun Yong David Lu Jun Yong David  If opportunity doesn't knock, build a door  —Milton Berle • Set up efficient process to compare of large chunks of data • Ability to represent data in multiple formats • Deep dive into issues of mismatch and to confirm with Proprietary Order Management System, ensuring that data retrieved can able sync • Ad hoc transportation/operations projects support Location/Salary •Panda Avenue • Up to $3500 Email Address  os3 capitagrp com and attention to David Lerh Consultant Code  DLL Quote the Job title when sending in your application",2,DA,2.0,3250.0,8.086410275323782
6,RECRUIT EXPRESS PTE LTD,Data Analyst (Perm) *GOOD CAREER PROSPECT*,Singapore - Central,,Healthcare/Medical,"Well versed in data analysis and mining, dashboarding and reporting and GIS software such as  Please refer to https //www recruitexpress com sg/ for more job opportunities! *** GOOD CAREER PROSPECT AWAITS RIGHT CANDIDATE ***   Responsibilities     Ensure high quality analytics support are delivered to the stakeholders    Assist in strategizing to enable the department in meeting its KPIs    Lead in managing projects and ensuring that the output meets the needs and requirements of the stakeholders    Requirements   Candidate must possess at least a Bachelor's Degree or equivalent in the field of Mathematics, Statistics, Data Science or related field    At least 2 year s  of working experience in experience in health or healthcare related industry and held a role in statistics, business intelligence or geospatial information systems related areas is required for this position    Experience in statistics modelling is advantageous    Strong analytical, communication and problem solving skills    Good team player   Well versed in data analysis and mining, dashboarding and reporting and GIS software such as     Excel, SAS, SPSS Base/ Modeller, Tableau or QGIS    Experience in programming such as R, Python or Java preferred     Interested applicants, please click ""APPLY NOW""     Please also send your resume in MS Word format to ashleysee   recruitexpress com sg     Please refer to https //www recruitexpress com sg/ for more job opportunities!     Recruiter's Information   See Ting Chun  Ashley   Ms  Consultant R1765823 Please also send your resume in MS Word format to ashleysee   recruitexpress com sg Responsibilities Recruiter's Information   See Ting Chun  Ashley   Ms  Consultant R1765823 Interested applicants, please click ""APPLY NOW""",4,DA,1.0,4000.0,8.294049640102028
7,Sopra Steria Asia Pte Ltd,Data Analyst,Singapore - West - Others - One North,"3, Fusionopolis Way Symbiosis #12-27","Consulting (IT, Science, Engineering & Technical)"," Design data models for mission critical and high volume data management, real time and distributed data processes aligning with the business requirement Communicating with cross functional team to identify changes in requirements of data and address data issues Requirements Maintaining the metadata requirements in accordance to company standards and altering PIM fields as and when required PhD/Master/Bachelor degree in computer science, computer engineering, information systems, mathematics Experiences in programming languages and development are advantages Develop data mining, data analysis and data prediction capability in order to come up with useful data for reliability team to propose solution for reliability improvement Expertise in monitoring systems computer networks, data structure, system deployment and software engineering Requirements        Develop data mining, data analysis and data prediction capability in order to come up with useful data for reliability team to propose solution for reliability improvement     Design data models for mission critical and high volume data management, real time and distributed data processes aligning with the business requirement     Upholding the integrity of the data at all times and documenting processing of master data clearly and accurately to enable efficient accessibility     Maintaining the metadata requirements in accordance to company standards and altering PIM fields as and when required      Facilitating change requests and creating the necessary functional specification documents     Communicating with cross functional team to identify changes in requirements of data and address data issues     PhD/Master/Bachelor degree in computer science, computer engineering, information systems, mathematics      Expertise in monitoring systems computer networks, data structure, system deployment and software engineering     Experiences in programming languages and development are advantages Facilitating change requests and creating the necessary functional specification documents Upholding the integrity of the data at all times and documenting processing of master data clearly and accurately to enable efficient accessibility",2,DA,7.0,5000.0,8.517193191416238
8,United Overseas Bank Limited (UOB),"VP, Business Data Analyst, Enterprise Data Strategy, Data Management Office",Singapore - Across Singapore - Singapore,,Banking/Financial Services,"The   Data Management Office  DMO    is a business function that covers Enterprise Data Governance, Data Management, Big Data Analytics and Enterprise Data Strategy  Data Management Office ensures that UOB meets all data governance standards set by data regulators and optimize data management and usage to help UOB make smarter, faster and more accurate decisions and to improve operational efficiency      Job Description     The Senior Business Data Analyst is the primary liaison between the business and IT  Responsibilities include  leading business users, IT project teams, and external partners to drive decision making and define requirements for application development, ensuring that business needs are being met, defining and negotiating project scope, creating documentation of business requirements which guide application development efforts, working closely with the business team, development team and quality assurance team to ensure successful implementation of business requirements, and working collaboratively with IT and business partners to resolve issues      Job responsibilities       Perform analysis of business issues, provide recommendations for possible solutions, work with Business users and IT project teams to drive decision making and define requirements for application development, ensuring that business needs are being met    Responsible for User Acceptance Testing   Work with various team/streams to co ordinate and orchestral testing efforts where handshakes and testing entry criteria are established  Including executes test cases and development of test scripts, including acceptance criteria    Perform data profiling and gap analysis, source to target mappings, data issue capturing, resolution and escalation    Provide end to end project delivery support, including workshop planning, conducting of workshop walkthrough, defect support, continuous validation and assisting with rollout activities    Able to perform complex SQL scripting to meet user's requests   Complete documentation for business requirements which guide application development efforts, working closely with the Development team and Business teams to ensure successful implementation of business requirements    Work with IT and Business partners to build support processes and procedures, provide ongoing support to manage application SLA's, resolve a majority of the problems and fulfill service requests that do not require application development    Analyze opportunities to improve application reliability, provide recommendations for possible solutions, work with IT and Business partners to implement solutions that enhance application and infrastructure reliability    Assist with the development and maintenance of the business requirements process used to define requirements for systems projects, assist with the definition of project scope and create appropriate scope documentation    Communicates project status and escalates issues as needed     Job requirements       Bachelors degree in Business Administration, MIS, or related field and more than 10 years work experience in banking industry, preferably with business / functional knowledge in Risk or Finance domain     Writing and Verbal skills with a meticulous attention to detail, to communicate information effectively to leads, managers, and technical staff     Interpersonal skills, to help negotiate priorities and to resolve conflicts among project stakeholders  such as customers, project management, and technical staff      Knowledge of architecting and modeling in Systems Integration, Data Warehousing, BI tools, Big Data platforms and experienced in the use of analytical /query tools  Must be able to query and understand database solutions     Extensive experience designing, developing, and documenting data driven solutions   including capturing architectures, metadata systems, data dictionaries, databases and applications     Organizational skills, to work in a fast paced environment, on multiple projects and tasks concurrently, while also working with the vast array of information gathered during elicitation and analysis and to cope with rapidly changing information",4,DA,7.0,5000.0,8.517193191416238
9,DBS Bank Limited,"Senior Associate/Associate, MIS Analyst, Group Consumer Banking and Big Data Analytics Technology, Technology and Operat - (180002T5)",Singapore - Across Singapore - singapore,,Banking/Financial Services,"Business Function  Group Technology and Operations  T&O  enables and empowers the bank with an efficient, nimble and resilient infrastructure through a strategic focus on productivity, quality & control, technology, people capability and innovation  In Group T&O, we manage the majority of the Bank's operational processes and inspire to delight our business partners through our multiple banking delivery channels   Responsibilities    Drive and deliver enterprise scale transformation programs and high priority strategic projects     Responsible for project delivery on time, on budget and with the right quality   Foster partnership with stakeholders from business and support units, technology counterparts and vendors to articulate project objectives, develop and execute project plans   Manage effective project and program level communications across all stakeholder groups  Business, Operations and Technology , at various levels of technical detail   Drive continuous improvement in the way we deliver to our Business  Ensure best practices are in place for project execution and management   Effective problem solver, with excellent quantitative techniques and good communication / interpersonal skills    Requirements    Qualified professional with a University degree or equivalent   Strong hold in Excel  macros/VB script , Power Point or equivalent presentation software, Visio or equivalent planning tools and preparation of MIS & management reporting   Familiar with the Agile delivery methodology   Very hands on, detail oriented in every aspect of the project, but able to handle ambiguity   Excellent communication and presentation skills, both verbal and written, able to adapt to various levels of detail   A natural team worker with excellent interpersonal skills, to facilitate working within the broader T&O department and with business partners and vendors   Result driven, self starter and independent worker   Effective with working in a fast paced, often unstructured environment   Energetic and energizing character, with a strong ability to manage by influence   Relevant experience in analysis, preferably in banking, finance, digital and/or consulting industries   Strong modeling, analytical, planning and organizing skills   Ability to take initiatives and drive strategic projects; a good team player   Apply Now     We offer a competitive salary and benefits package and the professional advantages of a dynamic environment that supports your development and recognises your achievements",4,DA,4.0,4656.25,8.44596568212787
