,URL
0,https://www.jobstreet.com.sg/en/job/senior-data-analyst-7k-8k-cbd-mnc-ref-jt-6632666?fr=21&src=16
1,https://www.jobstreet.com.sg/en/job/data-analyst-6631974?fr=21&src=16
2,https://www.jobstreet.com.sg/en/job/data-analyst-6631628?fr=21&src=16
3,https://www.jobstreet.com.sg/en/job/senior-business-analyst-data-analytics-project-management-6631211?fr=21&src=16
4,https://www.jobstreet.com.sg/en/job/data-analyst-pivot-table-v-look-up-6631090?fr=21&src=16
5,https://www.jobstreet.com.sg/en/job/data-analysts-up-to-3500-clementi-3-months-extendable-contract-6630859?fr=21&src=16
6,https://www.jobstreet.com.sg/en/job/data-analyst-perm-good-career-prospect-6630785?fr=21&src=16
7,https://www.jobstreet.com.sg/en/job/data-analyst-6608250?fr=21&src=16
8,https://www.jobstreet.com.sg/en/job/vpavp-edag-project-analyst-data-management-office-6607428?fr=21&src=16
9,https://www.jobstreet.com.sg/en/job/vp-business-data-analyst-enterprise-data-strategy-data-management-office-6607354?fr=21&src=16
10,https://www.jobstreet.com.sg/en/job/senior-associateassociate-mis-analyst-group-consumer-banking-and-big-data-analytics-technology-technology-and-operat-180002t5-6596517?fr=21&src=16
11,https://www.jobstreet.com.sg/en/job/vpavp-edag-project-analyst-data-management-office-6595328?fr=21&src=16
12,https://www.jobstreet.com.sg/en/job/vp-data-analyst-gto-140c50a7-c509-4f92-a-6596508?fr=21&src=16
13,https://www.jobstreet.com.sg/en/job/data-analyst-scientist-1800000q-6595466?fr=21&src=16
14,https://www.jobstreet.com.sg/en/job/hris-data-analyst-it-industry-mnc-west-area-5000-6630083?fr=21&src=16
15,https://www.jobstreet.com.sg/en/job/data-analysts-up-to-3500-clementi-3-months-extendable-contract-6629767?fr=21&src=16
16,https://www.jobstreet.com.sg/en/job/supply-chain-data-analyst-3-months-contract-junior-6629628?fr=21&src=16
17,https://www.jobstreet.com.sg/en/job/marketing-analyst-us-global-mnc-4-months-financial-giant-data-cbd-6629463?fr=21&src=16
18,https://www.jobstreet.com.sg/en/job/data-analyst-digital-bank-06d9a2f0-d24e-4d96-a-6629258?fr=21&src=16
19,https://www.jobstreet.com.sg/en/job/data-analysts-up-to-3500-clementi-3-months-extendable-contract-6628506?fr=21&src=16
20,https://www.jobstreet.com.sg/en/job/senior-data-analyst-7k-8k-cbd-mnc-ref-jt-6632666?fr=21&src=16.1
21,https://www.jobstreet.com.sg/en/job/data-analyst-6631974?fr=21&src=16.1
22,https://www.jobstreet.com.sg/en/job/data-analyst-6631628?fr=21&src=16.1
23,https://www.jobstreet.com.sg/en/job/senior-business-analyst-data-analytics-project-management-6631211?fr=21&src=16.1
24,https://www.jobstreet.com.sg/en/job/data-analyst-pivot-table-v-look-up-6631090?fr=21&src=16.1
25,https://www.jobstreet.com.sg/en/job/data-analysts-up-to-3500-clementi-3-months-extendable-contract-6630859?fr=21&src=16.1
26,https://www.jobstreet.com.sg/en/job/data-analyst-perm-good-career-prospect-6630785?fr=21&src=16.1
27,https://www.jobstreet.com.sg/en/job/data-analyst-6608250?fr=21&src=16.1
28,https://www.jobstreet.com.sg/en/job/vpavp-edag-project-analyst-data-management-office-6607428?fr=21&src=16.1
29,https://www.jobstreet.com.sg/en/job/vp-business-data-analyst-enterprise-data-strategy-data-management-office-6607354?fr=21&src=16.1
30,https://www.jobstreet.com.sg/en/job/senior-associateassociate-mis-analyst-group-consumer-banking-and-big-data-analytics-technology-technology-and-operat-180002t5-6596517?fr=21&src=16.1
31,https://www.jobstreet.com.sg/en/job/vpavp-edag-project-analyst-data-management-office-6595328?fr=21&src=16.1
32,https://www.jobstreet.com.sg/en/job/vp-data-analyst-gto-140c50a7-c509-4f92-a-6596508?fr=21&src=16.1
33,https://www.jobstreet.com.sg/en/job/data-analyst-scientist-1800000q-6595466?fr=21&src=16.1
34,https://www.jobstreet.com.sg/en/job/hris-data-analyst-it-industry-mnc-west-area-5000-6630083?fr=21&src=16.1
35,https://www.jobstreet.com.sg/en/job/data-analysts-up-to-3500-clementi-3-months-extendable-contract-6629767?fr=21&src=16.1
36,https://www.jobstreet.com.sg/en/job/supply-chain-data-analyst-3-months-contract-junior-6629628?fr=21&src=16.1
37,https://www.jobstreet.com.sg/en/job/marketing-analyst-us-global-mnc-4-months-financial-giant-data-cbd-6629463?fr=21&src=16.1
38,https://www.jobstreet.com.sg/en/job/data-analyst-digital-bank-06d9a2f0-d24e-4d96-a-6629258?fr=21&src=16.1
39,https://www.jobstreet.com.sg/en/job/data-analysts-up-to-3500-clementi-3-months-extendable-contract-6628506?fr=21&src=16.1
40,https://www.jobstreet.com.sg/en/job/data-analyst-6628300?fr=21&src=16&srcr=16
41,https://www.jobstreet.com.sg/en/job/data-analyst-logistics-6628220?fr=21&src=16&srcr=16
42,https://www.jobstreet.com.sg/en/job/senior-analyst-data-center-consulting-6605166?fr=21&src=16&srcr=16
43,https://www.jobstreet.com.sg/en/job/data-analyst-6593896?fr=21&src=16&srcr=16
44,https://www.jobstreet.com.sg/en/job/data-analyst-sales-6591679?fr=21&src=16&srcr=16
45,https://www.jobstreet.com.sg/en/job/data-analyst-3-months-3500-pandan-ave-6627702?fr=21&src=16&srcr=16
46,https://www.jobstreet.com.sg/en/job/data-analyst-3-months-pandan-ave-3000-6627597?fr=21&src=16&srcr=16
47,https://www.jobstreet.com.sg/en/job/supply-chain-data-analyst-pandan-ave-3-months-3500-6627563?fr=21&src=16&srcr=16
48,https://www.jobstreet.com.sg/en/job/data-analyst-6627022?fr=21&src=16&srcr=16
49,https://www.jobstreet.com.sg/en/job/data-analyst-11-month-contract-6626665?fr=21&src=16&srcr=16
50,https://www.jobstreet.com.sg/en/job/static-data-analyst-6-months-contract-6626573?fr=21&src=16&srcr=16
51,https://www.jobstreet.com.sg/en/job/supply-chain-data-analysts-up-to-3500-clementi-3-months-extendable-contract-6626090?fr=21&src=16&srcr=16
52,https://www.jobstreet.com.sg/en/job/supply-chain-data-analyst-up-3500-r-6626070?fr=21&src=16&srcr=16
53,https://www.jobstreet.com.sg/en/job/researcherdata-analyst-top-listed-it-mnc-permgd-enveastup-to-55k-basic-6625862?fr=21&src=16&srcr=16
54,https://www.jobstreet.com.sg/en/job/vpavp-edag-project-analyst-data-management-office-6625669?fr=21&src=16&srcr=16
55,https://www.jobstreet.com.sg/en/job/contract-data-analyst-6625628?fr=21&src=16&srcr=16
56,https://www.jobstreet.com.sg/en/job/vp-business-data-analyst-enterprise-data-strategy-data-management-office-6625576?fr=21&src=16&srcr=16
57,https://www.jobstreet.com.sg/en/job/data-analyst-customer-relations-liang-court-up-to-4000-6591403?fr=21&src=16&srcr=16
58,https://www.jobstreet.com.sg/en/job/it-data-analyst-6589756?fr=21&src=16&srcr=16
59,https://www.jobstreet.com.sg/en/job/data-analyst-6589612?fr=21&src=16&srcr=16
60,https://www.jobstreet.com.sg/en/job/data-analyst-6628300?fr=21&src=16&srcr=16.1
61,https://www.jobstreet.com.sg/en/job/data-analyst-logistics-6628220?fr=21&src=16&srcr=16.1
62,https://www.jobstreet.com.sg/en/job/senior-analyst-data-center-consulting-6605166?fr=21&src=16&srcr=16.1
63,https://www.jobstreet.com.sg/en/job/data-analyst-6593896?fr=21&src=16&srcr=16.1
64,https://www.jobstreet.com.sg/en/job/data-analyst-sales-6591679?fr=21&src=16&srcr=16.1
65,https://www.jobstreet.com.sg/en/job/data-analyst-3-months-3500-pandan-ave-6627702?fr=21&src=16&srcr=16.1
66,https://www.jobstreet.com.sg/en/job/data-analyst-3-months-pandan-ave-3000-6627597?fr=21&src=16&srcr=16.1
67,https://www.jobstreet.com.sg/en/job/supply-chain-data-analyst-pandan-ave-3-months-3500-6627563?fr=21&src=16&srcr=16.1
68,https://www.jobstreet.com.sg/en/job/data-analyst-6627022?fr=21&src=16&srcr=16.1
69,https://www.jobstreet.com.sg/en/job/data-analyst-11-month-contract-6626665?fr=21&src=16&srcr=16.1
70,https://www.jobstreet.com.sg/en/job/static-data-analyst-6-months-contract-6626573?fr=21&src=16&srcr=16.1
71,https://www.jobstreet.com.sg/en/job/supply-chain-data-analysts-up-to-3500-clementi-3-months-extendable-contract-6626090?fr=21&src=16&srcr=16.1
72,https://www.jobstreet.com.sg/en/job/supply-chain-data-analyst-up-3500-r-6626070?fr=21&src=16&srcr=16.1
73,https://www.jobstreet.com.sg/en/job/researcherdata-analyst-top-listed-it-mnc-permgd-enveastup-to-55k-basic-6625862?fr=21&src=16&srcr=16.1
74,https://www.jobstreet.com.sg/en/job/vpavp-edag-project-analyst-data-management-office-6625669?fr=21&src=16&srcr=16.1
75,https://www.jobstreet.com.sg/en/job/contract-data-analyst-6625628?fr=21&src=16&srcr=16.1
76,https://www.jobstreet.com.sg/en/job/vp-business-data-analyst-enterprise-data-strategy-data-management-office-6625576?fr=21&src=16&srcr=16.1
77,https://www.jobstreet.com.sg/en/job/data-analyst-customer-relations-liang-court-up-to-4000-6591403?fr=21&src=16&srcr=16.1
78,https://www.jobstreet.com.sg/en/job/it-data-analyst-6589756?fr=21&src=16&srcr=16.1
79,https://www.jobstreet.com.sg/en/job/data-analyst-6589612?fr=21&src=16&srcr=16.1
80,https://www.jobstreet.com.sg/en/job/data-analyst-leading-sports-brand-recent-grads-welcome-6624901?fr=21&src=16&srcr=16
81,https://www.jobstreet.com.sg/en/job/compensation-and-benefit-analyst-data-analysis-total-reward-6624969?fr=21&src=16&srcr=16
